TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,PPG_Ambient,PPG_IR,PPG_Red,Heart_Rate,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2568-11-19 09:43:38.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-2184
2568-11-19 09:43:45.826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2568-11-19 09:43:46.453,1.647651022071897,0.4888117515779227,0.601348087104131,1.557599494698696,1.25934043991174,0.6177557938084822,0.2531264353699798,1.342368131318749,0.7732545660331497,-0.6373921235913068,0.2457896426350525,0.9311978262571824,0.5108581180140309,0.759503837457138,-0.1147167463727496,0.6063630764840562,0.2878437516826816,0.2061058419356552,-0.4545951392676079,0.218998198920089,1073.003663003663,817.5457875457876,826.8131868131868,1057.692307692308,713.992673992674,-0.077637,0.030579,1.000732,0.089722,-1.555176,0.538330,358608.058608,94259926.739927,33046739.926740,112.592743,1,1,1,1,1,75.000000
2568-11-19 09:43:47.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2568-11-19 09:43:47.452,1.647651022071897,0.4948078060674268,-0.006108748952940492,1.28516422116756,1.25934043991174,-0.3656364044219135,-0.04265625707715116,0.9156740106836951,0.7732545660331497,-0.09054849022673168,0.08608706520725837,0.9014214761578329,0.5108581180140309,0.5503346083534952,-0.1066622607743807,0.6289576119456066,0.2878437516826816,-0.2001875691636198,-0.4026391075367039,0.1690467996575222,957.7655677655678,823.5897435897436,818.7545787545788,971.0622710622711,862.2710622710623,-0.072327,0.034851,0.999756,-0.381317,-2.003784,-0.119629,358608.058608,94129377.289377,32987106.227106,112.592743,1,1,1,1,1,75.000000
2568-11-19 09:43:48.453,1.319781273112048,0.4444278218187745,0.2349503445460107,1.267446082139105,1.028951164989006,-0.06269560631355618,0.1639656809861348,0.9762593297725622,0.7796455869148969,0.1547002729139871,0.05725650193616876,0.7913200000820184,0.6973582651077158,0.5131947985827719,-0.1835483337666225,0.6190562409301141,0.458188270241181,-0.0699497542251192,-0.5287317997920081,0.2989101823895675,896.9230769230769,788.1318681318681,814.3223443223443,896.9230769230769,505.2747252747253,-0.068909,0.031860,0.994812,0.321503,-1.884155,-0.216827,360219.780220,94280073.260073,32978241.758242,112.592743,1,1,1,1,1,75.000000
2568-11-19 09:43:48.480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2568-11-19 09:43:49.452,1.096386136284518,0.5261012491901752,0.3534900104326154,1.187677092701588,0.7380420390132286,0.222484914383127,0.1419749560275161,0.8128996057038543,0.7549169123686456,0.231554755826461,-0.02966056674231935,0.6306849311533003,0.7362170027270356,0.5937826231446162,-0.1166595030406856,0.4358801578354422,0.5218721054112067,-0.04441663544026123,-0.4718978031763165,0.2333815064693274,1033.113553113553,805.0549450549451,795.7875457875458,1037.142857142857,719.6336996336996,-0.059021,0.036621,0.998474,-0.246735,-1.682281,-0.770111,359413.919414,94000439.560440,32911355.311355,112.592743,1,1,1,1,1,75.000000
2568-11-19 09:43:49.807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2568-11-19 09:43:50.452,1.06728588219209,0.9378952569619722,0.696998590729645,1.232372972424106,0.8019143289600483,0.3776748136442732,0.06357709321196348,0.964205972544484,0.6856762764394932,0.3852578685055106,0.1234358542462861,0.5843296150161147,0.772861097296607,0.6515325887827621,0.02692475945255394,0.458922329580611,0.6194413961324876,0.02496879277855383,-0.4252334106231048,0.1475828204958013,1013.369963369963,812.7106227106227,811.5018315018315,1003.699633699634,1128.608058608059,-0.055054,0.037659,1.003723,-0.089722,-2.228088,-0.029907,355384.615385,93805421.245421,32870256.410256,112.592743,1,1,1,1,1,75.000000
2568-11-19 09:43:51.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2568-11-19 09:43:51.453,1.562620801564697,0.8935678606084758,0.5110209911322593,1.148443700440109,0.9706088249142143,0.5006159185159025,-0.05625425454824311,0.8068779480125644,0.636110607519899,0.4060351606145232,0.0781500358606949,0.448439388707273,0.7851125148895459,0.5710141802352499,-0.1483104652705645,0.4511284890997488,0.3587269617032224,0.1150802665444167,-0.3791923860140585,0.3300346086168085,801.4285714285714,793.3699633699634,811.9047619047619,826.007326007326,452.8937728937729,-0.059021,0.033875,1.002686,0.037384,-1.824341,0.029907,358608.058608,93794139.194139,32827545.787546,112.592743,1,1,1,1,1,75.000000
